pc_filelist,zmax,zmean,zsd,zskew,zkurt,zentropy,pzabovezmean,pzabove2,zq5,zq10,zq15,zq20,zq25,zq30,zq35,zq40,zq45,zq50,zq55,zq60,zq65,zq70,zq75,zq80,zq85,zq90,zq95,zpcum1,zpcum2,zpcum3,zpcum4,zpcum5,zpcum6,zpcum7,zpcum8,zpcum9,crr,fhd,fd,fds,och,rug,rum,wetup,PCA1,PCA2
hoh_669527.5_912985.7.laz,501.21000000000004,434.7633786342876,32.98127205514439,-0.30566279282607334,2.0913967998903806,0.7681549951326888,53.091233151386874,100,377.95,384.12,393.322,402.26,409.25,417.62,422.41,427.76,432.87,438.88,445.134,448.82,453.75200000000007,458.99,462.66,466.24,469.29,473.56,480.84000000000003,0,0,0,0,0,0,0,19.362745098039216,62.68939393939394,1.1758818887758493,4.775638942994147,2.1885614495501025,1.8473538859926004,450.31,31.55627719531417,33.768683745965404,UPL,-1.9632068415375694,0.5605884558978217
hoh_671849.1_929226.6.laz,615.35,581.8552828075416,15.342833107435256,-1.652461987518751,7.171018964804708,0.609963096880743,57.12152324061975,100,554.5,567.798,571.59,574.0500000000001,576.15,577.79,579.49,581.016,582.35,583.76,585.1,586.6800000000001,587.96,589.5,591.14,592.874,594.998,597.7,601.54,0,0,0,0,0,0,0,0,4.985063480209111,1.9335969441212029,3.917299640199017,2.0485553299024803,1.926551968767059,584.6800000000001,10.608683189155574,10.7598568459832,UPL,-0.8970689887324279,-1.9668972859034881
hoh_673969.4_910127.6.laz,778.54,749.8296241374247,15.69374547844183,-1.4216353469591032,4.5644332599487605,0.5724686273457259,64.4692409337836,100,708.2,727.79,736.76,742.6800000000001,745.75,747.8000000000001,749.67,750.95,752.39,753.87,755.02,756.07,757.28,758.63,759.91,761.42,762.83,764.63,767.58,0,0,0,0,0,0,0,0,0,1.555173793305391,3.8111643013437826,2.171556361795056,1.841974362952511,755.8100000000001,9.029545132028742,15.264073771038492,UPL,-0.1664668294063031,-1.6433349453417747
hoh_674170.6_945467.7.laz,940.25,897.869261511729,22.05364101195434,-0.5247997876494663,1.911669915985485,0.6019130768113056,63.02345786272806,100,860.5600000000001,864.282,868.4,869.85,871.23,887.8960000000001,895.854,900.2180000000001,903.15,905.74,907.8100000000001,909.48,911.09,912.76,914.485,916.47,918.8270000000001,921.704,925.829,0,0,0,0,0,0,0,0,0,1.1325725606459838,4.120784681181996,2.1459928339284278,1.8026379277505507,909.0500000000001,19.65939925463367,17.499762812747655,UPL,0.5903163208029991,-0.8924936288368598
hoh_675132.8_947250.3.laz,1052.85,1006.1655656549261,18.326431736798124,-0.5461241670581964,2.927714389335961,0.6078525223494826,56.93880863496186,100,968.96,975.59,986.12,992.62,996.91,1000.1,1002.39,1004.82,1006.85,1008.82,1010.6,1012.53,1014.4,1016.27,1018.5,1020.8000000000001,1023.6500000000001,1027.56,1032.48,0,0,0,0,0,0,0,0,0,1.1032706377936676,4.230201344789606,2.1330801768937375,1.829059777233392,1010.53,17.169355414277312,10.89518884024624,UPL,1.0740178680161474,-1.239939256249275
hoh_675524.7_901922.1.laz,139.76,79.90827567169673,20.884117581385773,0.35723179873387234,2.286738371906682,0.8786308695530419,47.46043430253957,100,50.56,53.28,56.16850000000001,58.99,61.45,65.417,69.01650000000001,72.18,75.09550000000002,78.38,81.07000000000001,84.21400000000003,87.94350000000003,92.39,95.88250000000004,99.74000000000001,103.81150000000001,108.73900000000005,115.93449999999996,0,0,0,14.595987483894717,36.296705319344746,59.653966501012334,77.47101049144119,92.32468249585864,98.52751702558439,0.5852509023726191,4.340372061922783,2.168165241463126,1.7931365506377435,80.94,21.02555402170063,13.558207583949326,WET,-5.557867855853709,4.913262864584941
hoh_677000.4_949004.4.laz,885.96,827.2731987433093,27.831608331892625,-0.3670116412751945,2.205760488490762,0.6760142575389818,54.96858273213871,100,776.3100000000001,781.89,790.12,802.3779999999999,808.53,813.38,818.3865000000001,822.83,827.2,831.4,835.5,838.88,841.96,845.37,848.65,852.702,856.76,860.86,866.7404999999999,0,0,0,0,0,0,0,0,17.630629582218084,0.9667113819198204,4.5878868999705205,2.2497606840261524,1.9012565884372552,841.7,23.496254981306077,34.034581402054386,WET,0.11974250193911434,-0.4314632243929448
hoh_677136.7_895527.4.laz,219.75,170.6383847224985,9.708289639305267,1.1400906482749142,3.7500871039091757,0.6161016328433836,40.819574298786556,100,160.73,161.06,161.45000000000002,162.01,162.57,163.25,164.21,165.26,166.57,167.81,169.23899999999998,170.87,172.6,174.02,175.62,177.69,180.81,186.19,190.98,0,0,0,0,0,0,0,75.82570632709908,98.76641464385197,0.21722732315395438,3.3223222246703665,2.1312386322558683,1.8587743652241397,168.91500000000002,9.981909400572814,7.913145689525449,WET,-4.294867885718842,-1.8309471910898403
hoh_677619.4_910919.4.laz,972.41,910.9522908766451,19.521908950552543,0.2217329888115486,2.6210396653583095,0.6334650122554437,47.71358465313406,100,879.8975,885.5600000000001,890.09,893.53,896.85,899.54,902.07,904.46,907.41,909.855,912.7,915.71,918.76,921.72,924.64,927.52,931.66,937.14,945.04,0,0,0,0,0,0,0,0,1.3496932515337423,0.8000996388906862,4.358098354963517,2.15693627682885,1.9359109603521079,914.47,18.955824852464914,16.44659139791472,UPL,0.449603182397081,-1.4597354732299632
hoh_677843.2_889161.2.laz,278.67,191.4496696944674,38.78422484956903,-0.15747584135887163,2.070327229036028,0.8545938570209727,54.03798513625103,100,128.54,131.442,134.91,149.298,162.205,170.96800000000002,178.28,184.698,190.49,196.62,201.36800000000002,206.95000000000002,212.17700000000008,217.38400000000001,220.47,224.478,230.02,239.66,252.38100000000003,0,0,0,0,17.409976874793525,28.097125867195246,48.71159563924678,78.11364387182029,94.43343244136109,0.7630063938229085,4.8113875881276345,2.12601590514934,1.6956122397427216,205.03500000000003,38.2737203786009,28.45735880357943,WET,-3.9486823920891325,3.6731752505114623
