pc_filelist,wetup
hoh_762338.2_924574.laz,UPL
hoh_763608.3_907313.laz,UPL
hoh_764319.9_929950.laz,UPL
hoh_764883.8_919055.7.laz,UPL
hoh_766723.3_919904.2.laz,UPL
hoh_768192.6_908981.6.laz,UPL
hoh_769838.3_932495.7.laz,UPL
hoh_770880.5_907990.7.laz,UPL
hoh_771165.3_917045.4.laz,UPL
hoh_772634.5_906122.7.laz,UPL
hoh_775578.8_913281.1.laz,UPL
hoh_776996.8_929551.5.laz,UPL
hoh_779286.2_915883.7.laz,UPL
hoh_779343.1_917694.6.laz,UPL
hoh_779713.3_929466.1.laz,UPL
hoh_780026.5_939426.6.laz,UPL
hoh_781325_923070.6.laz,WET
hoh_783221.4_925730.2.laz,UPL
hoh_784462.7_907563.4.laz,UPL
hoh_784690.6_914807.3.laz,UPL
hoh_785203.3_931106.2.laz,UPL
hoh_785231.8_932011.7.laz,WET
hoh_785260.2_932917.2.laz,UPL
hoh_787327.6_941009.8.laz,UPL
hoh_788113.1_908354.9.laz,UPL
hoh_789924.1_908297.9.laz,UPL
hoh_790072.6_941829.9.laz,UPL
hoh_790408.4_923691.3.laz,UPL
hoh_791678.1_906430.laz,UPL
hoh_792532.8_933594.9.laz,WET
hoh_793011_919983.8.laz,UPL
hoh_793096.4_922700.3.laz,UPL
hoh_794429.3_936254.4.laz,WET
hoh_794600.2_941687.5.laz,UPL
hoh_796268.8_937103.laz,WET
hoh_797253.5_910786.4.laz,WET
hoh_798051.3_936140.5.laz,WET
hoh_798193.8_940668.1.laz,WET
hoh_798671.9_927056.9.laz,UPL
hoh_799099.3_940639.6.laz,WET
hoh_799406.4_921595.4.laz,UPL
hoh_800739.4_935149.5.laz,UPL
hoh_801502.4_930593.4.laz,UPL
hoh_801730.4_937837.6.laz,UPL
hoh_802686.4_910615.4.laz,WET
hoh_802714.9_911520.9.laz,WET
hoh_803000_920575.9.laz,UPL
hoh_803591.9_910586.9.laz,WET
hoh_804041.3_896070.6.laz,UPL
hoh_804190.5_929602.4.laz,UPL
hoh_804247.4_931413.5.laz,UPL
hoh_805631_917773.9.laz,UPL
hoh_805887.5_925923.4.laz,UPL
hoh_807641.5_924055.4.laz,UPL
hoh_809559.7_898615.9.laz,UPL
hoh_812140.5_923007.3.laz,UPL
hoh_812219.1_896719.4.laz,UPL
hoh_813723.5_915706.3.laz,UPL
